RSHA,BS,RHOB,CALI,DRHO,GR,RDEP,CALI_corr
5.9322,14.75,2.156,16.83,0.0083,71.4,8.4546,2.0799999999999983
6.8449,14.75,2.1779,16.0,0.0102,71.53,7.0844,1.25
6.3221,14.75,2.2128,15.78,0.0073,66.83,5.3437,1.0299999999999994
4.9341,14.75,2.2209,16.03,-0.0077,60.08,4.1188,1.2800000000000011
3.1058,14.75,2.2049,15.46,0.0005,51.06,3.9221,0.7100000000000009
2.3498,14.75,2.0633,15.41,0.0049,47.23,3.8516,0.6600000000000001
2.2412,14.75,1.7692,17.3,0.0054,47.47,3.35,2.5500000000000007
2.4633,14.75,1.6098,17.15,0.0029,51.76,3.1776,2.3999999999999986
2.3919,14.75,1.6081,19.8,0.0059,54.29,3.353,5.050000000000001
1.9743,14.75,1.7235,23.01,0.0102,52.15,3.3123,8.260000000000002
2.0821,14.75,1.7827,18.96,0.0127,48.22,3.4601,4.210000000000001
2.5601,14.75,1.7741,17.66,0.0069,42.28,3.4403,2.91
2.8908,14.75,1.78,19.04,0.0064,36.23,2.9618,4.289999999999999
2.553,14.75,1.8208,18.33,0.0142,31.85,2.791,3.5799999999999983
2.0693,14.75,1.819,19.59,0.0409,29.64,2.8609,4.84
1.5821,14.75,1.7949,21.76,0.0595,28.56,2.7653,7.010000000000002
1.3867,14.75,1.6256,22.39,0.044,27.07,2.5918,7.640000000000001
1.4122,14.75,1.4178,23.32,0.0133,25.33,2.357,8.57
1.4322,14.75,1.2766,23.34,-0.0009,24.6,2.0749,8.59
1.4942,14.75,1.2213,23.34,-0.0088,23.77,1.8114,8.59
1.6196,14.75,1.213,23.34,-0.0122,24.21,1.6723,8.59
1.6255,14.75,1.207,23.34,-0.0171,25.96,1.6664,8.59
1.5428,14.75,1.21,23.34,-0.0137,26.95,1.765,8.59
1.485,14.75,1.215,23.34,-0.0093,26.14,1.8935,8.59
1.4341,14.75,1.218,23.34,-0.0068,24.66,1.9508,8.59
1.421,14.75,1.218,23.34,-0.0064,25.52,1.918,8.59
1.4194,14.75,1.221,23.34,-0.0068,27.27,1.7961,8.59
1.4123,14.75,1.225,23.34,-0.0064,28.8,1.6409,8.59
1.4158,14.75,1.221,23.34,-0.0102,27.15,1.5487,8.59
1.4232,14.75,1.214,23.34,-0.0166,26.55,1.5451,8.59
1.3857,14.75,1.213,23.34,-0.0151,25.15,1.6066,8.59
1.3277,14.75,1.217,23.34,-0.0117,26.91,1.7812,8.59
1.2592,14.75,1.224,23.34,-0.0054,27.93,2.0565,8.59
1.2357,14.75,1.222,23.34,-0.0054,30.8,2.2173,8.59
1.3836,14.75,1.226,23.34,-0.0015,32.85,2.0656,8.59
1.3771,14.75,1.242,23.34,-0.0058,32.41,1.993,8.59
1.7121,14.75,1.3167,23.34,-0.0044,29.96,1.9833,8.59
1.7092,14.75,1.4066,23.34,-0.002,28.2,2.0696,8.59
1.7724,14.75,1.4268,23.34,0.0034,27.24,2.3902,8.59
1.5016,14.75,1.3483,23.34,-0.0044,26.5,2.7992,8.59
1.4741,14.75,1.2703,23.34,-0.0093,24.88,2.7752,8.59
1.4742,14.75,1.2421,23.34,-0.0093,23.99,2.6896,8.59
1.4814,14.75,1.24,23.34,-0.0073,24.49,2.6511,8.59
1.5538,14.75,1.244,23.34,-0.0083,26.37,2.5702,8.59
1.8054,14.75,1.251,23.34,-0.0132,28.33,2.459,8.59
1.9431,14.75,1.3089,23.34,-0.0127,30.82,2.4291,8.59
1.982,14.75,1.4526,23.34,-0.0044,30.92,2.4057,8.59
1.925,14.75,1.6661,23.34,0.0141,30.54,2.4135,8.59
1.7922,14.75,1.7962,21.67,0.0448,29.38,2.4149,6.920000000000002
1.6629,14.75,1.6505,22.75,0.0327,29.39,2.3442,8.0
1.5808,14.75,1.4648,23.34,0.0026,29.8,2.229,8.59
1.5368,14.75,1.3455,23.34,-0.0126,28.31,2.1352,8.59
1.5154,14.75,1.2863,23.34,-0.0292,27.38,2.0693,8.59
1.618,14.75,1.2631,23.34,-0.0312,28.64,2.0109,8.59
1.8071,14.75,1.27,23.34,-0.0296,32.13,2.0288,8.59
2.0187,14.75,1.3178,23.34,-0.0208,34.68,2.1562,8.59
2.1415,14.75,1.3787,23.34,-0.0075,36.63,2.4438,8.59
2.1117,14.75,1.4029,23.34,-0.0033,38.94,2.8054,8.59
2.0579,14.75,1.417,23.28,-0.0024,42.06,3.0155,8.530000000000001
2.0435,14.75,1.4619,22.84,-0.0039,44.92,2.9896,8.09
2.0582,14.75,1.5696,22.63,0.0092,46.15,2.7655,7.879999999999999
2.1635,14.75,1.7035,22.63,0.0259,44.96,2.4429,7.879999999999999
2.0866,14.75,1.8075,22.84,0.0459,42.15,2.3554,8.09
1.8923,14.75,1.8128,22.82,0.0346,42.85,2.499,8.07
1.6601,14.75,1.6825,22.78,0.0132,46.57,2.6333,8.030000000000001
1.6657,14.75,1.5317,21.45,-0.0031,51.38,2.7384,6.699999999999999
1.8574,14.75,1.4853,22.29,0.0028,55.1,2.7372,7.539999999999999
2.211,14.75,1.5768,23.32,0.0328,55.92,2.6146,8.57
2.5683,14.75,1.7662,22.46,0.069,59.18,2.7236,7.710000000000001
2.6657,14.75,1.9064,20.27,0.0585,59.96,3.0185,5.52
2.7582,14.75,1.9697,19.38,0.0344,60.34,3.2734,4.629999999999999
2.7146,14.75,1.983,20.21,0.0242,60.09,3.5449,5.460000000000001
2.69,14.75,2.0099,20.98,0.0278,60.81,3.7463,6.23
2.6289,14.75,2.0269,20.56,0.0135,65.17,3.7335,5.809999999999999
2.7839,14.75,2.0509,20.38,0.0036,67.13,3.5842,5.629999999999999
2.9536,14.75,2.0679,19.34,-0.0024,69.44,3.593,4.59
2.9097,14.75,2.0839,18.55,-0.0019,68.72,3.6228,3.8000000000000007
2.9495,14.75,2.093,18.61,-0.0012,67.49,3.8249,3.8599999999999994
3.0796,14.75,2.094,18.66,-0.0007,62.92,3.8128,3.91
3.2618,14.75,2.096,18.74,-0.0002,62.08,3.712,3.9899999999999984
3.2705,14.75,2.098,18.19,-0.0016,62.95,3.5263,3.4400000000000013
3.1695,14.75,2.103,18.03,-0.0011,66.64,3.1923,3.280000000000001
3.1506,14.75,2.096,18.23,-0.0037,69.76,2.8272,3.4800000000000004
2.7238,14.75,2.0571,17.88,-0.0067,68.27,2.7271,3.129999999999999
2.4001,14.75,1.9843,17.7,0.0059,63.91,2.6689,2.9499999999999993
2.0608,14.75,1.9083,18.1,0.0277,56.84,2.5771,3.3500000000000014
2.1613,14.75,1.8851,20.42,0.0446,54.21,2.5265,5.670000000000002
2.1354,14.75,1.874,21.07,0.0192,54.4,2.5217,6.32
2.3055,14.75,1.87,19.14,0.0091,54.67,2.4093,4.390000000000001
2.3011,14.75,1.8541,19.62,0.0114,54.2,2.4179,4.870000000000001
2.5428,14.75,1.871,20.31,0.0086,54.47,2.5338,5.559999999999999
2.7036,14.75,1.9198,19.6,0.0046,55.7,2.6468,4.850000000000001
2.8071,14.75,1.9747,17.92,0.0034,58.3,2.8576,3.1700000000000017
2.5711,14.75,1.97,18.19,0.0015,58.72,3.2228,3.4400000000000013
2.4035,14.75,1.9909,19.41,0.0052,56.29,3.3873,4.66
2.377,14.75,1.999,18.03,0.0005,53.73,3.4632,3.280000000000001
2.5171,14.75,2.0249,19.14,-0.0006,54.21,3.2115,4.390000000000001
2.7753,14.75,2.0489,17.43,-0.0021,53.23,2.8475,2.6799999999999997
2.8887,14.75,2.0319,17.9,-0.0055,50.23,2.7046,3.1499999999999986
2.6104,14.75,1.8914,18.08,0.0057,45.97,2.8197,3.3299999999999983
2.262,14.75,1.674,18.08,0.0023,46.0,2.9066,3.3299999999999983
2.0541,14.75,1.6023,20.8,0.0104,49.33,3.0888,6.050000000000001
2.1822,14.75,1.5912,22.6,0.0039,50.67,3.2476,7.850000000000001
2.2435,14.75,1.7026,21.89,0.0141,52.67,2.9041,7.140000000000001
2.465,14.75,1.8236,20.38,0.02,50.92,2.6477,5.629999999999999
2.5823,14.75,1.9733,21.48,0.0194,49.66,2.5985,6.73
2.5818,14.75,2.0267,19.27,0.0136,48.4,2.6141,4.52
2.4682,14.75,1.9573,17.96,0.0079,49.02,2.6157,3.210000000000001
2.2772,14.75,1.8853,19.24,0.0086,48.83,2.6248,4.489999999999998
2.1484,14.75,1.8283,20.38,0.0017,48.79,2.7781,5.629999999999999
1.9494,14.75,1.8111,20.79,0.0059,46.52,2.7478,6.039999999999999
1.8803,14.75,1.828,21.57,0.0154,47.22,2.5894,6.82
1.964,14.75,1.8788,21.42,0.0256,46.9,2.595,6.670000000000002
2.1088,14.75,1.9228,19.74,0.0222,48.09,2.5201,4.989999999999998
2.3699,14.75,1.9559,20.58,0.0247,48.74,2.3395,5.829999999999998
2.429,14.75,1.9868,21.06,0.0246,48.72,2.3799,6.309999999999999
2.4265,14.75,1.99,19.78,0.0122,47.45,2.6043,5.030000000000001
2.1966,14.75,1.9601,19.02,0.002,49.16,2.7064,4.27
1.9707,14.75,1.9411,19.36,0.0,52.93,2.7885,4.609999999999999
2.1865,14.75,1.9729,20.24,0.0068,56.08,2.9389,5.489999999999998
2.3492,14.75,2.0178,19.26,0.0083,58.6,2.8919,4.510000000000002
2.523,14.75,2.0309,17.84,0.0063,58.72,2.8447,3.09
2.3297,14.75,2.026,17.35,0.0016,60.19,2.9024,2.6000000000000014
2.2383,14.75,2.035,18.71,0.0062,56.53,2.9294,3.960000000000001
2.2885,14.75,2.041,18.58,0.0094,54.26,2.8598,3.8299999999999983
2.2964,14.75,2.028,18.01,0.0105,51.38,2.6582,3.2600000000000016
2.1454,14.75,2.0001,17.6,0.0079,49.85,2.4468,2.8500000000000014
1.9851,14.75,1.9413,18.86,0.0032,48.82,2.2729,4.109999999999999
1.7923,14.75,1.9031,21.13,0.0033,47.14,2.1851,6.379999999999999
1.6884,14.75,1.8422,18.3,-0.0014,44.86,2.1066,3.5500000000000007
1.4924,14.75,1.7484,21.08,0.0111,43.7,2.2092,6.329999999999998
1.4461,14.75,1.6675,22.75,0.0275,45.08,2.2273,8.0
1.5268,14.75,1.7367,23.25,0.0857,47.17,2.0603,8.5
1.8016,14.75,1.8186,23.34,0.0689,48.13,1.8659,8.59
2.0648,14.75,1.8585,20.23,0.0707,46.05,1.7327,5.48
2.0939,14.75,1.629,18.73,0.0172,42.41,1.6993,3.9800000000000004
1.7617,14.75,1.4468,21.46,0.011,37.32,1.8637,6.710000000000001
1.6681,14.75,1.3405,23.17,0.004,34.57,2.105,8.420000000000002
1.6122,14.75,1.3072,23.34,-0.0018,35.14,2.3731,8.59
1.554,14.75,1.3419,23.34,-0.0041,35.24,2.4354,8.59
1.5942,14.75,1.4536,23.34,-0.0023,38.76,2.2976,8.59
1.8618,14.75,1.6403,23.4,0.0009,43.41,2.1379,8.649999999999999
2.4252,14.75,1.835,20.1,0.0225,49.45,2.0873,5.350000000000001
2.4251,14.75,1.8508,18.68,0.0289,51.49,2.1651,3.9299999999999997
2.1043,14.75,1.7664,20.17,0.0244,50.37,2.3905,5.420000000000002
1.8366,14.75,1.7203,22.48,0.0112,51.77,2.7415,7.73
1.7592,14.75,1.737,22.11,-0.0005,53.74,2.8681,7.359999999999999
1.7561,14.75,1.8147,22.05,0.0014,54.29,2.6893,7.300000000000001
1.8805,14.75,1.8787,22.68,0.0027,54.69,2.4632,7.93
2.0813,14.75,1.9407,23.23,0.0047,55.6,2.242,8.48
2.344,14.75,1.9768,21.33,-0.0021,56.32,2.1135,6.579999999999998
2.2946,14.75,1.977,21.0,-0.0109,55.63,2.134,6.25
1.9771,14.75,1.9372,21.4,-0.0113,55.52,2.2287,6.649999999999999
1.7044,14.75,1.9022,21.7,-0.002,56.51,2.3487,6.949999999999999
1.6142,14.75,1.914,22.73,0.007,58.92,2.3464,7.98
1.7814,14.75,1.9668,23.34,0.0039,60.45,2.2973,8.59
1.941,14.75,2.0237,22.56,-0.0068,62.48,2.2282,7.809999999999999
2.1269,14.75,2.0559,21.57,-0.0137,62.63,2.2625,6.82
2.113,14.75,2.0699,21.26,-0.0121,62.08,2.405,6.510000000000002
2.1702,14.75,2.08,21.73,-0.0079,62.44,2.5905,6.98
2.2953,14.75,2.087,22.03,-0.0064,61.45,2.7363,7.280000000000001
2.305,14.75,2.088,21.43,-0.0096,61.81,2.8807,6.68
2.3035,14.75,2.089,21.21,-0.015,60.19,2.9087,6.460000000000001
2.1374,14.75,2.092,21.19,-0.0143,57.16,2.7726,6.440000000000001
2.0948,14.75,2.082,20.58,-0.0087,53.51,2.606,5.829999999999998
2.0291,14.75,2.0421,20.22,0.0004,52.44,2.4571,5.469999999999999
1.8432,14.75,1.9693,20.56,0.0124,51.32,2.3209,5.809999999999999
1.6362,14.75,1.9063,20.92,0.0298,46.12,2.1875,6.170000000000002
1.5191,14.75,1.8672,21.32,0.0489,39.65,2.1106,6.57
1.4807,14.75,1.866,23.14,0.0786,35.88,2.0353,8.39
1.5019,14.75,1.8311,23.34,0.0882,35.61,1.9467,8.59
1.5283,14.75,1.7941,23.34,0.0994,36.04,1.8884,8.59
1.5556,14.75,1.7313,23.34,0.0853,33.79,1.8529,8.59
1.5375,14.75,1.6822,23.34,0.0853,32.45,1.8274,8.59
1.5045,14.75,1.5903,23.34,0.0759,33.15,1.8457,8.59
1.4851,14.75,1.4775,23.34,0.0481,34.34,1.8807,8.59
1.4865,14.75,1.3844,23.34,0.0126,33.83,1.9047,8.59
1.4931,14.75,1.3512,23.34,-0.0009,31.29,1.9287,8.59
1.5063,14.75,1.344,23.34,-0.0007,29.74,1.9652,8.59
1.4984,14.75,1.3321,23.34,-0.0034,30.45,2.0079,8.59
1.4913,14.75,1.325,23.34,-0.0032,31.31,2.0462,8.59
1.4957,14.75,1.319,23.34,-0.0097,31.48,2.0728,8.59
1.5183,14.75,1.329,23.34,-0.0045,31.04,2.0545,8.59
1.5484,14.75,1.337,23.34,-0.0039,30.42,1.9948,8.59
1.5677,14.75,1.336,23.34,-0.0002,32.3,1.9275,8.59
1.5781,14.75,1.329,23.34,-0.0027,32.88,1.8922,8.59
1.591,14.75,1.325,23.34,-0.0016,32.88,1.8727,8.59
1.5719,14.75,1.329,23.34,-0.0058,33.39,1.9285,8.59
1.4725,14.75,1.3469,23.34,-0.0055,34.21,2.0914,8.59
1.3053,14.75,1.3689,23.34,-0.0099,36.28,2.2077,8.59
1.31,14.75,1.4079,23.34,0.0009,38.27,2.1646,8.59
1.4229,14.75,1.4818,23.34,0.0097,40.75,2.0495,8.59
1.6232,14.75,1.6274,23.34,0.0325,40.64,1.9033,8.59
1.6764,14.75,1.8141,23.37,0.0359,39.99,1.8739,8.620000000000001
1.6061,14.75,1.9183,21.04,0.0319,37.57,1.9884,6.289999999999999
1.5375,14.75,1.8054,22.01,0.0188,35.49,2.1002,7.260000000000002
1.4518,14.75,1.6138,23.14,0.0121,34.08,2.1657,8.39
1.3995,14.75,1.4756,23.34,0.0096,34.79,2.1242,8.59
1.431,14.75,1.4083,23.34,0.0024,36.11,1.9216,8.59
1.4692,14.75,1.399,23.34,-0.0003,34.71,1.7881,8.59
1.4837,14.75,1.397,23.34,0.0,31.78,1.7868,8.59
1.469,14.75,1.3781,23.34,-0.0029,29.66,1.8264,8.59
1.4713,14.75,1.3541,23.34,-0.0094,29.75,1.9,8.59
1.5055,14.75,1.363,23.34,-0.0086,31.59,1.9918,8.59
1.5928,14.75,1.4308,23.34,0.0019,31.73,2.0451,8.59
1.6788,14.75,1.5495,23.34,0.0218,30.99,2.0898,8.59
1.6758,14.75,1.6665,23.34,0.0447,30.91,2.1521,8.59
1.6194,14.75,1.7277,23.34,0.0637,31.74,2.1904,8.59
1.5453,14.75,1.728,23.34,0.0758,32.31,2.1665,8.59
1.4798,14.75,1.6961,23.34,0.0776,31.85,2.0779,8.59
1.4098,14.75,1.6442,23.34,0.0673,30.64,1.9525,8.59
1.3491,14.75,1.5693,23.34,0.0465,29.42,1.7989,8.59
1.2596,14.75,1.4694,23.34,0.0223,29.46,1.6618,8.59
1.2127,14.75,1.3665,23.34,0.0009,30.42,1.5503,8.59
1.1829,14.75,1.2913,23.34,-0.0087,30.59,1.46,8.59
1.1793,14.75,1.2462,23.34,-0.0127,28.57,1.3945,8.59
1.1696,14.75,1.2331,23.34,-0.01,27.84,1.374,8.59
1.1525,14.75,1.225,23.34,-0.0132,28.89,1.3869,8.59
1.1616,14.75,1.225,23.34,-0.0117,29.53,1.4122,8.59
1.2117,14.75,1.221,23.34,-0.013,30.18,1.4281,8.59
1.286,14.75,1.227,23.34,-0.0086,28.7,1.4297,8.59
1.3256,14.75,1.232,23.34,-0.0124,27.85,1.4265,8.59
1.3344,14.75,1.2469,23.34,-0.0101,28.07,1.4361,8.59
1.3396,14.75,1.251,23.34,-0.0143,30.16,1.4793,8.59
1.3327,14.75,1.248,23.34,-0.0153,32.67,1.5525,8.59
1.3027,14.75,1.242,23.34,-0.0161,33.24,1.6618,8.59
1.2729,14.75,1.239,23.34,-0.0155,35.9,1.8757,8.59
1.2651,14.75,1.242,23.34,-0.0146,40.33,2.121,8.59
1.3654,14.75,1.253,23.34,-0.0212,45.55,2.2567,8.59
1.569,14.75,1.3248,23.34,-0.0163,49.37,2.3198,8.59
1.9001,14.75,1.4765,23.34,-0.0015,50.41,2.3216,8.59
2.1628,14.75,1.7399,23.34,0.0298,48.02,2.1997,8.59
2.2241,14.75,1.9809,23.34,0.0484,43.79,2.2562,8.59
1.9474,14.75,2.1649,23.34,0.085,39.5,2.4547,8.59
1.4708,14.75,2.0634,23.34,0.0764,38.98,2.4708,8.59
1.4681,14.75,1.8977,23.34,0.0668,38.61,2.4641,8.59
1.4229,14.75,1.7079,23.34,0.0267,40.76,2.3763,8.59
1.5877,14.75,1.5826,23.34,0.0096,41.85,2.029,8.59
1.5884,14.75,1.5682,23.34,0.0158,44.13,1.911,8.59
1.7061,14.75,1.6736,23.34,0.049,44.65,1.9692,8.59
1.7734,14.75,1.8472,23.34,0.0599,44.27,2.0163,8.59
1.9361,14.75,2.0002,23.34,0.0616,43.96,2.1014,8.59
2.0627,14.75,2.0249,23.34,0.0336,44.03,2.3519,8.59
2.0296,14.75,2.0797,23.34,0.0611,43.81,2.5203,8.59
1.9065,14.75,2.0511,23.31,0.0807,42.53,2.5484,8.559999999999999
1.9603,14.75,1.9604,23.11,0.0819,39.6,2.6216,8.36
2.0148,14.75,1.8864,23.34,0.0761,36.79,2.7059,8.59
2.0129,14.75,1.863,23.34,0.0913,36.28,2.734,8.59
2.0165,14.75,1.7585,23.34,0.0775,37.28,2.9166,8.59
2.248,14.75,1.6625,23.34,0.0472,39.49,3.0881,8.59
2.4928,14.75,1.6531,23.34,0.037,38.81,3.2328,8.59
2.5729,14.75,1.7336,23.34,0.058,39.45,3.2746,8.59
2.5834,14.75,1.7479,23.34,0.0714,39.69,3.1282,8.59
2.6765,14.75,1.7272,23.32,0.0513,40.84,2.8174,8.57
2.5548,14.75,1.7659,23.19,0.0512,40.43,2.434,8.440000000000001
2.2338,14.75,1.8505,23.19,0.0571,40.72,2.1197,8.440000000000001
1.7704,14.75,1.808,23.34,0.0661,41.09,2.0048,8.59
1.4402,14.75,1.584,23.34,0.0326,40.71,1.9839,8.59
1.2716,14.75,1.3969,23.09,0.008,41.08,1.9537,8.34
1.2679,14.75,1.2796,22.35,-0.0062,39.77,1.8965,7.600000000000001
1.3788,14.75,1.2562,23.09,-0.0121,41.39,1.8347,8.34
1.5938,14.75,1.3178,23.23,-0.0101,42.88,1.7885,8.48
1.8587,14.75,1.4754,22.22,-0.0074,46.99,1.9133,7.469999999999999
2.0685,14.75,1.71,20.91,0.0027,51.33,2.247,6.16
2.1855,14.75,1.917,22.88,0.0118,59.62,2.706,8.129999999999999
2.2695,14.75,2.0265,22.33,0.0135,67.88,3.1656,7.579999999999998
2.4351,14.75,2.0718,21.95,0.0082,75.03,3.5355,7.199999999999999
2.5943,14.75,2.1009,23.04,0.0052,76.89,3.5928,8.29
2.8427,14.75,2.1219,21.8,0.0049,74.95,3.4345,7.050000000000001
3.1103,14.75,2.1439,19.69,0.0027,70.98,3.257,4.940000000000001
3.1778,14.75,2.1659,19.33,-0.0054,68.31,3.1465,4.579999999999998
2.9155,14.75,2.1769,19.42,-0.0123,70.13,3.0643,4.670000000000002
2.6472,14.75,2.1591,19.72,-0.0095,73.67,3.0741,4.969999999999999
2.5132,14.75,2.1202,20.71,-0.0015,79.1,3.0345,5.960000000000001
2.4619,14.75,2.0842,21.81,0.0008,81.76,2.959,7.059999999999999
2.4605,14.75,2.0621,20.86,-0.0013,85.21,2.8687,6.109999999999999
2.4836,14.75,2.055,21.18,-0.0019,87.15,2.8353,6.43
2.5445,14.75,2.054,21.57,0.0012,88.27,2.8107,6.82
2.6033,14.75,2.06,21.25,0.0054,85.63,2.7828,6.5
2.6322,14.75,2.069,21.48,0.008,82.23,2.794,6.73
2.6097,14.75,2.0809,21.66,0.0076,80.08,2.8322,6.91
2.5925,14.75,2.088,21.17,0.0055,78.74,2.8493,6.420000000000002
2.586,14.75,2.083,20.4,0.0013,79.1,2.8659,5.649999999999999
2.5836,14.75,2.082,19.66,0.001,80.12,2.8687,4.91
2.5538,14.75,2.081,19.8,-0.0008,82.18,2.9038,5.050000000000001
2.5386,14.75,2.084,19.71,0.0012,81.17,2.9259,4.960000000000001
2.5489,14.75,2.086,19.34,0.0049,77.59,2.9133,4.59
