RSHA,BS,RHOB,CALI,DRHO,GR,RDEP,CALI_corr
0.9811,14.75,1.7343,23.34,0.0918,33.39,0.9839,8.59
1.007,14.75,1.8373,23.34,0.1028,35.82,0.9968,8.59
0.9953,14.75,1.8956,23.34,0.096,35.87,1.0223,8.59
0.9867,14.75,1.8364,23.34,0.0854,36.02,1.0549,8.59
0.9995,14.75,1.7069,23.34,0.0682,37.24,1.0951,8.59
1.0614,14.75,1.6007,23.32,0.0563,39.12,1.1382,8.57
1.1317,14.75,1.5523,23.32,0.0454,42.73,1.1829,8.57
1.1405,14.75,1.5669,22.97,0.0524,45.04,1.2237,8.219999999999999
1.0994,14.75,1.6038,23.17,0.068,50.44,1.2592,8.420000000000002
1.1361,14.75,1.6825,23.34,0.0928,52.19,1.2613,8.59
1.2625,14.75,1.7684,23.34,0.101,54.56,1.227,8.59
1.402,14.75,1.8683,23.34,0.1195,52.29,1.2157,8.59
1.2808,14.75,1.863,23.34,0.1164,54.49,1.2539,8.59
1.0708,14.75,1.7885,23.34,0.1161,56.33,1.3217,8.59
1.0249,14.75,1.7582,23.34,0.1026,65.03,1.3833,8.59
1.0962,14.75,1.7978,23.34,0.0737,76.43,1.386,8.59
1.2696,14.75,1.9053,22.18,0.0286,88.63,1.3337,7.43
1.362,14.75,1.9825,18.66,0.0059,93.47,1.3041,3.91
1.3914,14.75,1.9979,17.54,0.0017,92.58,1.3156,2.789999999999999
1.4004,14.75,1.9821,18.32,0.003,91.7,1.3139,3.5700000000000003
1.4227,14.75,1.9591,20.34,-0.0024,87.95,1.3555,5.59
1.3212,14.75,1.9252,18.81,-0.0137,83.36,1.4278,4.059999999999999
1.169,14.75,1.934,18.61,-0.0149,79.92,1.4532,3.8599999999999994
1.1602,14.75,1.9728,20.53,-0.0138,84.12,1.444,5.780000000000001
1.3157,14.75,2.0326,22.28,-0.0112,91.11,1.4429,7.530000000000001
1.5311,14.75,2.0409,19.05,-0.014,94.74,1.433,4.300000000000001
1.5582,14.75,2.0211,18.76,-0.0188,93.48,1.4892,4.010000000000002
1.5863,14.75,2.0091,18.16,-0.0149,91.2,1.5874,3.41
1.5807,14.75,2.0279,18.71,-0.01,90.6,1.6704,3.960000000000001
1.5992,14.75,2.0618,17.89,-0.0017,90.75,1.6673,3.1400000000000006
1.5649,14.75,2.0779,18.56,-0.0001,90.64,1.6675,3.8099999999999987
1.551,14.75,2.071,18.95,0.0,89.54,1.6179,4.199999999999999
1.5731,14.75,2.0352,18.01,-0.003,86.98,1.5395,3.2600000000000016
1.5411,14.75,1.9664,17.85,0.0023,80.31,1.5351,3.1000000000000014
1.4055,14.75,1.7892,17.9,0.0114,70.87,1.6123,3.1499999999999986
1.2554,14.75,1.7423,17.39,0.0368,65.14,1.6478,2.6400000000000006
1.2576,14.75,1.7778,19.83,0.0426,63.07,1.6839,5.079999999999998
1.4835,14.75,1.9439,22.84,0.0243,63.17,1.6777,8.09
1.7481,14.75,2.076,19.24,0.0381,60.9,1.5968,4.489999999999998
1.7359,14.75,2.0343,19.65,0.0627,59.17,1.5655,4.899999999999999
1.553,14.75,1.9496,20.09,0.0826,58.5,1.5498,5.34
1.4546,14.75,1.8745,21.19,0.0741,56.61,1.4374,6.440000000000001
1.4139,14.75,1.7746,20.78,0.041,50.86,1.3059,6.030000000000001
1.3219,14.75,1.5535,20.0,0.0094,44.05,1.204,5.25
1.1303,14.75,1.3722,20.36,-0.0023,37.92,1.108,5.609999999999999
0.9694,14.75,1.2658,22.43,-0.013,35.29,1.0518,7.68
0.8784,14.75,1.27,23.27,-0.0132,37.4,1.0327,8.52
0.8569,14.75,1.3247,23.34,-0.0122,43.43,1.0156,8.59
0.8994,14.75,1.4512,23.34,0.0003,52.33,1.0259,8.59
1.0034,14.75,1.6209,23.34,0.0111,60.9,1.0816,8.59
1.1578,14.75,1.8385,22.2,0.0503,66.63,1.1754,7.449999999999999
1.4306,14.75,1.9403,18.0,0.0358,72.67,1.311,3.25
1.5355,14.75,2.0065,18.09,0.0342,76.85,1.5071,3.34
1.6626,14.75,2.0348,17.91,0.0125,80.87,1.7158,3.16
1.7145,14.75,2.0548,18.23,0.0199,80.15,1.8655,3.4800000000000004
1.7273,14.75,1.9845,18.39,0.0239,76.58,1.9449,3.6400000000000006
1.7556,14.75,1.9185,18.67,0.0582,73.93,1.9961,3.9200000000000017
1.5956,14.75,1.8852,18.15,0.0827,72.83,1.9826,3.3999999999999986
1.6379,14.75,1.8939,18.99,0.0931,74.41,1.9237,4.239999999999998
1.5746,14.75,1.884,18.27,0.0971,76.99,1.8648,3.5199999999999996
1.6944,14.75,1.8254,18.3,0.0986,77.64,1.8326,3.5500000000000007
1.748,14.75,1.7575,18.44,0.075,77.14,1.8136,3.6900000000000013
1.8129,14.75,1.7491,17.59,0.038,75.88,1.8219,2.84
1.815,14.75,1.8016,18.09,0.0275,75.08,1.8455,3.34
1.8114,14.75,1.8566,18.09,0.0679,76.55,1.8391,3.34
1.7621,14.75,1.8828,18.08,0.1012,74.42,1.8248,3.3299999999999983
1.6998,14.75,1.8751,18.97,0.0982,74.8,1.7944,4.219999999999999
1.7032,14.75,1.875,19.22,0.073,75.88,1.7574,4.469999999999999
1.6651,14.75,1.877,19.05,0.0752,79.36,1.7227,4.300000000000001
1.6142,14.75,1.876,17.86,0.082,77.07,1.7164,3.1099999999999994
1.6027,14.75,1.88,18.08,0.111,72.32,1.706,3.3299999999999983
1.6139,14.75,1.8641,17.95,0.1099,69.79,1.6792,3.1999999999999993
1.6504,14.75,1.8461,18.11,0.1132,70.52,1.6699,3.3599999999999994
1.6487,14.75,1.8629,18.37,0.108,69.68,1.6936,3.620000000000001
1.7008,14.75,1.858,17.46,0.0881,67.64,1.7035,2.710000000000001
1.7732,14.75,1.8639,17.11,0.0908,67.93,1.7253,2.3599999999999994
1.7562,14.75,1.8342,17.34,0.0952,72.03,1.755,2.59
1.7767,14.75,1.8409,17.31,0.1242,73.54,1.7572,2.5599999999999987
1.7037,14.75,1.8182,17.84,0.1081,73.86,1.7725,3.09
1.7421,14.75,1.8219,18.18,0.1079,70.83,1.7779,3.4299999999999997
1.6947,14.75,1.7565,17.99,0.0673,71.14,1.7525,3.2399999999999984
1.6887,14.75,1.7272,17.86,0.0582,69.75,1.7594,3.1099999999999994
1.6877,14.75,1.7131,17.72,0.0586,70.9,1.7899,2.969999999999999
1.7343,14.75,1.7517,17.29,0.0774,70.15,1.7904,2.539999999999999
1.7397,14.75,1.7987,17.84,0.0902,70.93,1.7987,3.09
1.7391,14.75,1.794,17.66,0.0618,72.83,1.8348,2.91
1.7788,14.75,1.8099,17.05,0.0596,75.54,1.8576,2.3000000000000007
1.8034,14.75,1.812,16.34,0.0504,76.05,1.8411,1.5899999999999999
1.8075,14.75,1.8408,17.52,0.0411,71.99,1.8383,2.7699999999999996
1.7764,14.75,1.8798,17.49,0.0507,69.13,1.8036,2.7399999999999984
1.7824,14.75,1.9505,17.02,0.0701,68.71,1.7845,2.2699999999999996
1.8074,14.75,1.9619,16.78,0.0621,68.92,1.7772,2.030000000000001
1.7494,14.75,1.9411,17.4,0.0432,72.36,1.7781,2.6499999999999986
1.7213,14.75,1.8894,18.74,0.0309,76.44,1.7664,3.9899999999999984
1.6508,14.75,1.9089,18.9,0.0385,80.34,1.7587,4.149999999999999
1.67,14.75,1.9259,18.1,0.0192,77.16,1.7528,3.3500000000000014
1.6861,14.75,1.9518,17.94,0.0094,70.35,1.7349,3.1900000000000013
1.7253,14.75,1.9619,17.54,0.0064,67.06,1.7091,2.789999999999999
1.7285,14.75,1.9839,17.84,0.0059,70.09,1.7234,3.09
1.6974,14.75,2.0227,17.29,0.0049,76.08,1.7426,2.539999999999999
1.6919,14.75,2.0508,17.11,0.0029,78.21,1.7636,2.3599999999999994
1.744,14.75,2.057,18.12,0.0053,77.36,1.7744,3.370000000000001
1.7961,14.75,2.055,17.61,0.0049,78.04,1.8072,2.8599999999999994
1.7856,14.75,2.053,17.67,0.0117,79.92,1.8376,2.9200000000000017
1.7583,14.75,2.047,17.9,0.0088,80.56,1.8614,3.1499999999999986
1.802,14.75,2.0589,17.98,0.0146,80.94,1.8945,3.2300000000000004
1.8565,14.75,2.059,17.92,0.0074,82.44,1.9148,3.1700000000000017
1.8898,14.75,2.064,17.91,0.0073,85.27,1.9135,3.16
1.8749,14.75,2.061,18.28,0.0015,86.1,1.9188,3.530000000000001
1.8463,14.75,2.055,18.11,-0.001,84.22,1.9166,3.3599999999999994
1.8233,14.75,2.059,18.43,0.0029,81.93,1.9234,3.6799999999999997
1.812,14.75,2.055,18.39,0.0015,80.02,1.9158,3.6400000000000006
1.7855,14.75,2.061,18.55,0.0034,82.16,1.9128,3.8000000000000007
1.7668,14.75,2.064,18.97,0.0068,80.63,1.9097,4.219999999999999
1.7905,14.75,2.0759,19.65,0.0093,77.87,1.9059,4.899999999999999
1.8231,14.75,2.0859,19.1,0.0112,74.47,1.905,4.350000000000001
1.8247,14.75,2.086,18.3,0.0059,75.74,1.9039,3.5500000000000007
1.8068,14.75,2.086,18.53,0.0049,80.04,1.8889,3.780000000000001
1.7791,14.75,2.0761,17.74,0.0049,81.2,1.8736,2.9899999999999984
1.7926,14.75,2.082,19.08,0.0073,81.1,1.8539,4.329999999999998
1.8111,14.75,2.0681,19.11,0.0059,76.66,1.8262,4.359999999999999
1.7813,14.75,2.068,18.24,0.0141,71.93,1.8142,3.4899999999999984
1.6804,14.75,2.0511,17.23,0.0142,68.73,1.8012,2.4800000000000004
1.6319,14.75,2.045,17.48,0.0142,66.11,1.7769,2.7300000000000004
1.6458,14.75,2.0291,17.78,0.0093,67.99,1.7619,3.030000000000001
1.7068,14.75,2.033,17.29,0.0185,69.04,1.7608,2.539999999999999
1.7211,14.75,2.0509,17.5,0.0263,69.45,1.7727,2.75
1.7378,14.75,2.0619,16.82,0.0249,71.81,1.7967,2.0700000000000003
1.7767,14.75,2.057,17.34,0.0075,73.36,1.8335,2.59
1.8151,14.75,2.057,17.45,0.0073,78.09,1.8685,2.6999999999999993
1.8553,14.75,2.061,17.38,0.0068,75.64,1.9044,2.629999999999999
1.8614,14.75,2.066,17.41,0.0093,71.93,1.9375,2.66
1.8665,14.75,2.064,17.64,0.0069,69.79,1.9587,2.8900000000000006
1.8573,14.75,2.064,17.64,0.0122,72.91,1.9679,2.8900000000000006
1.821,14.75,2.063,17.25,0.0141,76.34,1.9665,2.5
1.7911,14.75,2.063,16.41,0.0224,75.77,1.959,1.6600000000000001
1.7557,14.75,2.057,17.07,0.0389,73.09,1.9463,2.3200000000000003
1.7766,14.75,2.0351,16.44,0.058,72.04,1.9487,1.6900000000000013
1.7924,14.75,1.9585,16.31,0.0799,71.36,1.9293,1.5599999999999987
1.7168,14.75,1.8528,17.52,0.0568,69.79,1.8926,2.7699999999999996
1.6364,14.75,1.8431,18.31,0.0537,63.92,1.8581,3.5599999999999987
1.6443,14.75,1.8758,18.33,0.014,64.03,1.8149,3.5799999999999983
1.7309,14.75,1.9723,18.3,0.0127,64.91,1.7486,3.5500000000000007
1.6752,14.75,1.9184,17.75,0.0083,68.11,1.7421,3.0
1.5415,14.75,1.8207,18.0,0.0073,67.86,1.7649,3.25
1.4197,14.75,1.7753,17.35,0.0068,66.83,1.7222,2.6000000000000014
1.4614,14.75,1.8197,18.17,0.0001,64.92,1.6369,3.4200000000000017
1.4815,14.75,1.8925,17.51,0.0015,63.38,1.4841,2.7600000000000016
1.4836,14.75,1.8801,18.99,0.0131,62.45,1.3485,4.239999999999998
1.4056,14.75,1.7678,22.12,0.05,58.8,1.2842,7.370000000000001
1.2547,14.75,1.6478,21.18,0.0648,52.27,1.2739,6.43
1.1815,14.75,1.5398,22.54,0.0533,46.07,1.3129,7.789999999999999
1.1858,14.75,1.4725,22.58,0.0173,46.67,1.3628,7.829999999999998
1.2068,14.75,1.5118,20.67,0.0108,52.1,1.3593,5.920000000000002
1.1928,14.75,1.6401,22.21,0.0049,59.58,1.3113,7.460000000000001
1.3615,14.75,1.8237,20.65,0.003,66.26,1.2873,5.899999999999999
1.4886,14.75,1.959,16.93,0.0262,71.2,1.2938,2.1799999999999997
1.4981,14.75,1.9521,16.02,0.0613,73.3,1.3499,1.2699999999999996
1.4342,14.75,1.946,16.45,0.1042,71.76,1.4734,1.6999999999999993
1.3874,14.75,1.9331,16.53,0.1035,66.07,1.6015,1.7800000000000011
1.4514,14.75,1.9509,16.66,0.0856,60.84,1.677,1.9100000000000001
1.6024,14.75,1.9351,16.9,0.0573,57.78,1.6949,2.1499999999999986
1.6957,14.75,1.8555,16.39,0.0212,58.95,1.7086,1.6400000000000006
1.7654,14.75,1.7706,15.86,0.0036,60.32,1.7286,1.1099999999999994
1.6931,14.75,1.7631,16.37,0.0112,60.57,1.7272,1.620000000000001
1.7588,14.75,1.8315,16.0,0.0433,60.49,1.7729,1.25
1.6923,14.75,1.8955,16.71,0.0706,60.1,1.8556,1.9600000000000009
1.7695,14.75,1.9208,17.36,0.0805,62.3,1.9555,2.6099999999999994
1.662,14.75,1.8833,17.5,0.0564,66.1,2.1442,2.75
1.7501,14.75,1.9406,17.37,0.0794,67.84,2.3528,2.620000000000001
1.8391,14.75,1.944,16.26,0.0379,69.0,2.485,1.5100000000000016
1.9431,14.75,2.0115,16.82,0.0356,67.61,2.463,2.0700000000000003
1.9335,14.75,2.0209,16.75,0.0114,67.64,2.2222,2.0
1.8805,14.75,2.0349,17.23,0.0341,65.03,1.824,2.4800000000000004
1.729,14.75,1.9476,17.42,0.0783,58.24,1.4374,2.6700000000000017
1.3199,14.75,1.6868,17.07,0.0568,48.84,1.1885,2.3200000000000003
0.946,14.75,1.4397,19.22,0.0246,39.52,1.0549,4.469999999999999
0.7336,14.75,1.2801,22.48,-0.0061,34.45,1.0199,7.73
0.6451,14.75,1.2403,23.34,-0.0136,33.26,0.9858,8.59
0.679,14.75,1.2976,23.34,-0.0098,34.99,0.8999,8.59
0.8457,14.75,1.437,23.34,0.0012,37.67,0.8041,8.59
1.0577,14.75,1.6247,23.34,0.0371,41.34,0.7665,8.59
1.1567,14.75,1.7699,22.35,0.0857,47.54,0.8182,7.600000000000001
1.0563,14.75,1.7839,22.34,0.0967,51.93,0.9605,7.59
1.017,14.75,1.7771,22.55,0.0758,55.69,1.1319,7.800000000000001
1.0148,14.75,1.8227,22.44,0.0521,58.57,1.2407,7.690000000000001
1.1705,14.75,1.8816,22.06,0.0161,60.42,1.2664,7.309999999999999
1.2916,14.75,1.9416,18.32,0.0119,62.47,1.2444,3.5700000000000003
1.3755,14.75,1.937,17.56,0.0023,64.55,1.198,2.8099999999999987
1.3155,14.75,1.8963,20.03,0.0064,66.63,1.1989,5.280000000000001
1.1932,14.75,1.8007,18.7,0.013,65.4,1.2493,3.9499999999999993
1.0155,14.75,1.797,17.94,0.0435,63.2,1.2665,3.1900000000000013
1.019,14.75,1.8278,21.04,0.0373,63.8,1.2486,6.289999999999999
1.119,14.75,1.9183,22.43,0.0236,64.8,1.2397,7.68
1.2842,14.75,1.9379,17.95,0.0057,61.58,1.1975,3.1999999999999993
1.2703,14.75,1.941,19.18,0.009,59.42,1.191,4.43
1.2785,14.75,1.9559,19.83,0.0055,63.89,1.2159,5.079999999999998
1.3492,14.75,2.0076,18.78,0.0036,73.39,1.227,4.030000000000001
1.3705,14.75,2.0418,17.42,-0.0003,83.82,1.2,2.6700000000000017
1.3997,14.75,2.0569,17.59,0.004,91.12,1.1728,2.84
1.3563,14.75,2.054,18.36,0.0069,93.13,1.1536,3.6099999999999994
1.2991,14.75,2.051,17.25,0.011,87.49,1.107,2.5
1.1767,14.75,2.051,16.88,0.0121,80.69,1.0629,2.129999999999999
1.068,14.75,2.051,17.19,0.0122,79.98,1.002,2.4400000000000013
1.0855,14.75,2.049,17.48,0.0071,84.47,0.9055,2.7300000000000004
1.2182,14.75,2.046,17.18,0.0012,85.38,0.8181,2.4299999999999997
1.2045,14.75,2.045,17.0,0.0027,84.68,0.8058,2.25
0.8984,14.75,2.04,17.69,0.0057,83.67,0.8434,2.9400000000000013
0.7338,14.75,2.039,18.43,0.0082,84.35,0.8917,3.6799999999999997
0.8482,14.75,2.035,17.74,0.0047,81.9,0.9424,2.9899999999999984
1.2027,14.75,2.036,17.78,0.0045,78.08,0.9635,3.030000000000001
1.4994,14.75,2.034,18.32,0.0049,75.37,0.9946,3.5700000000000003
1.6071,14.75,2.032,18.28,0.0074,77.51,1.1584,3.530000000000001
1.6154,14.75,2.031,17.41,0.0083,81.72,1.4022,2.66
1.6348,14.75,2.036,17.32,0.0076,84.85,1.6551,2.5700000000000003
1.6562,14.75,2.039,17.63,0.0059,81.57,1.8469,2.879999999999999
1.6331,14.75,2.04,18.55,0.0047,75.12,1.8783,3.8000000000000007
1.6111,14.75,2.044,19.07,0.0065,72.15,1.6786,4.32
1.6449,14.75,2.0142,19.1,0.009,70.86,1.4381,4.350000000000001
1.5783,14.75,1.863,19.43,0.0135,64.19,1.2577,4.68
1.3336,14.75,1.5959,18.3,0.0064,53.96,1.1572,3.5500000000000007
1.0449,14.75,1.3746,17.13,-0.0009,44.82,1.1452,2.379999999999999
0.9125,14.75,1.2549,18.38,-0.0097,40.81,1.1857,3.629999999999999
0.8675,14.75,1.264,20.71,-0.0102,41.65,1.2044,5.960000000000001
0.9479,14.75,1.3901,22.59,0.0047,48.4,1.1458,7.84
1.1443,14.75,1.5985,23.27,0.019,59.92,1.118,8.52
1.4071,14.75,1.8452,22.34,0.0339,68.25,1.1631,7.59
1.5767,14.75,1.9989,20.76,0.0207,71.61,1.2951,6.010000000000002
1.6451,14.75,2.0377,20.07,0.0015,72.25,1.5223,5.32
1.6639,14.75,2.034,20.2,-0.0037,71.53,1.7874,5.449999999999999
1.6861,14.75,2.0241,19.99,-0.0069,73.52,1.9562,5.239999999999998
1.6578,14.75,2.0319,19.29,-0.0025,77.13,1.9577,4.539999999999999
1.5719,14.75,2.0449,18.96,0.0006,79.84,1.8189,4.210000000000001
1.4756,14.75,2.0589,19.58,0.0038,80.65,1.6756,4.829999999999998
1.428,14.75,2.0689,19.34,0.0058,79.97,1.5306,4.59
1.4228,14.75,2.07,18.76,0.0074,80.39,1.4266,4.010000000000002
1.3793,14.75,2.0293,18.73,0.0113,76.97,1.3689,3.9800000000000004
1.3397,14.75,1.8671,18.66,0.017,70.6,1.4051,3.91
1.4468,14.75,1.6575,18.16,0.0241,66.23,1.4488,3.41
1.4719,14.75,1.5518,18.19,0.0359,66.16,1.4869,3.4400000000000013
1.5995,14.75,1.5699,17.79,0.0501,68.41,1.4978,3.039999999999999
1.6478,14.75,1.6663,17.33,0.0629,69.55,1.4684,2.5799999999999983
1.7674,14.75,1.7534,17.63,0.0776,70.58,1.4384,2.879999999999999
1.7027,14.75,1.8195,17.63,0.0968,71.3,1.4832,2.879999999999999
1.5198,14.75,1.8925,17.34,0.1149,70.25,1.5421,2.59
1.3416,14.75,1.9228,16.97,0.1176,64.76,1.5953,2.219999999999999
1.2804,14.75,1.8823,16.42,0.0874,60.55,1.5824,1.6700000000000017
1.3186,14.75,1.8602,16.26,0.0576,57.26,1.4755,1.5100000000000016
1.4647,14.75,1.9057,16.2,0.0452,59.01,1.3172,1.4499999999999993
1.4546,14.75,1.904,15.8,0.0339,57.53,1.195,1.0500000000000007
1.2553,14.75,1.7273,15.73,0.017,52.62,1.1388,0.9800000000000004
1.0056,14.75,1.4798,17.02,-0.0014,44.25,1.1444,2.2699999999999996
0.9138,14.75,1.342,20.31,-0.0042,40.37,1.1194,5.559999999999999
0.9304,14.75,1.3301,22.99,0.0049,40.65,1.0419,8.239999999999998
1.0746,14.75,1.3747,22.66,0.0144,40.94,0.9603,7.91
1.0799,14.75,1.3859,21.02,0.0116,41.36,0.94,6.27
0.9501,14.75,1.385,19.57,0.0007,44.83,1.0112,4.82
0.9009,14.75,1.4486,19.69,-0.0063,57.14,1.152,4.940000000000001
0.991,14.75,1.6228,21.75,0.0012,74.05,1.2926,7.0
1.2464,14.75,1.8374,23.19,0.0056,86.59,1.4154,8.440000000000001
1.4403,14.75,1.9829,21.39,0.0058,89.49,1.5377,6.640000000000001
1.6264,14.75,2.0197,17.75,0.0134,81.84,1.68,3.0
1.7671,14.75,1.9991,16.69,0.0519,71.26,1.7219,1.9400000000000013
1.7923,14.75,1.9414,17.37,0.0982,61.52,1.6758,2.620000000000001
1.816,14.75,1.8179,18.45,0.102,54.72,1.5493,3.6999999999999993
1.412,14.75,1.6244,19.19,0.0568,46.95,1.4289,4.440000000000001
1.1498,14.75,1.4344,20.53,0.0057,38.75,1.3578,5.780000000000001
0.9315,14.75,1.3069,21.93,-0.0074,31.8,1.3394,7.18
0.8906,14.75,1.2474,23.15,-0.0073,33.31,1.3371,8.399999999999999
0.918,14.75,1.254,23.34,-0.0025,37.34,1.2538,8.59
1.0635,14.75,1.3394,23.34,-0.0001,44.49,1.1284,8.59
1.3171,14.75,1.4919,23.34,0.0075,49.91,1.039,8.59
1.3526,14.75,1.6637,23.34,0.0198,51.76,1.0247,8.59
1.2888,14.75,1.7494,22.37,0.0346,48.41,1.0617,7.620000000000001
1.1435,14.75,1.749,19.83,0.0442,43.23,1.1124,5.079999999999998
1.1008,14.75,1.7927,19.67,0.0724,38.37,1.1442,4.920000000000002
1.0573,14.75,1.8645,21.3,0.0913,36.06,1.1313,6.550000000000001
1.0432,14.75,1.9345,22.0,0.0975,35.07,1.0682,7.25
1.0108,14.75,1.9132,22.68,0.0791,38.07,1.0125,7.93
1.0451,14.75,1.8951,22.93,0.0702,44.28,0.951,8.18
1.0663,14.75,1.891,23.03,0.0509,47.0,0.9117,8.280000000000001
1.1214,14.75,1.8761,22.9,0.034,48.52,0.9255,8.149999999999999
0.9601,14.75,1.8283,21.97,0.0406,48.04,1.0186,7.219999999999999
0.8632,14.75,1.7258,22.51,0.0468,51.69,1.167,7.760000000000002
0.8506,14.75,1.6714,23.01,0.0411,54.7,1.3174,8.260000000000002
1.082,14.75,1.7028,22.99,0.0076,61.69,1.3957,8.239999999999998
1.5803,14.75,1.8569,22.52,-0.0044,64.45,1.4287,7.77
1.8961,14.75,2.0486,19.17,-0.0017,64.74,1.3604,4.420000000000002
1.9031,14.75,2.1314,17.91,0.0033,59.41,1.2964,3.16
1.8855,14.75,2.1012,18.12,0.0023,53.99,1.2483,3.370000000000001
1.3176,14.75,1.9481,18.76,-0.0012,49.28,1.2477,4.010000000000002
0.976,14.75,1.7654,20.09,-0.0034,45.01,1.2217,5.34
0.7233,14.75,1.6558,20.56,0.0029,43.11,1.2598,5.809999999999999
0.7374,14.75,1.6262,23.0,0.0104,47.55,1.3264,8.25
0.7511,14.75,1.6737,22.56,0.0113,56.58,1.2145,7.809999999999999
1.0292,14.75,1.7713,19.99,0.0085,70.08,1.0975,5.239999999999998
1.3972,14.75,1.8891,22.77,0.004,76.64,1.033,8.02
1.7535,14.75,1.9624,22.99,0.0092,72.42,1.0082,8.239999999999998
1.844,14.75,1.8657,20.4,0.0203,59.38,1.0716,5.649999999999999
1.2419,14.75,1.6109,19.07,0.0053,46.46,1.2556,4.32
0.9563,14.75,1.4412,21.22,-0.0013,42.37,1.5689,6.469999999999999
0.7622,14.75,1.3765,23.17,-0.0113,47.09,1.6739,8.420000000000002
0.8194,14.75,1.4961,23.34,0.0,60.9,1.5416,8.59
1.0522,14.75,1.7065,23.34,0.0021,73.62,1.3687,8.59
1.5784,14.75,1.9799,23.22,0.0078,79.14,1.2184,8.469999999999999
2.1867,14.75,2.1229,21.55,-0.0033,72.82,1.2327,6.800000000000001
1.874,14.75,2.0684,19.05,-0.0094,63.81,1.4617,4.300000000000001
1.3247,14.75,1.8516,19.21,-0.011,57.94,1.73,4.460000000000001
1.0521,14.75,1.6753,19.25,-0.0064,62.84,1.8642,4.5
1.0192,14.75,1.6472,20.8,0.0026,70.12,1.7889,6.050000000000001
1.1109,14.75,1.7423,23.2,-0.0023,79.26,1.4866,8.45
1.4715,14.75,1.9266,21.08,0.0,81.99,1.185,6.329999999999998
1.56,14.75,2.0332,19.93,0.0004,74.97,1.0954,5.18
1.382,14.75,1.9516,19.93,-0.0047,62.72,1.1158,5.18
0.9723,14.75,1.7604,19.0,0.0048,50.88,1.223,4.25
0.95,14.75,1.5942,21.35,0.0073,49.8,1.3331,6.600000000000001
0.9149,14.75,1.5682,23.27,0.0145,53.58,1.3998,8.52
1.1279,14.75,1.6653,19.95,0.0002,58.38,1.3584,5.199999999999999
1.3544,14.75,1.8695,18.47,0.0023,63.46,1.2993,3.719999999999999
1.5789,14.75,2.0219,18.45,-0.0021,67.7,1.324,3.6999999999999993
1.6742,14.75,2.0667,17.15,-0.0065,72.76,1.4739,2.3999999999999986
1.6389,14.75,2.0392,16.89,-0.0097,77.62,1.6254,2.1400000000000006
1.5657,14.75,1.9923,16.89,-0.0014,79.87,1.7339,2.1400000000000006
1.4792,14.75,1.9374,16.87,0.0002,80.17,1.8404,2.120000000000001
1.5826,14.75,1.9668,16.84,0.0016,79.79,1.8597,2.09
1.6581,14.75,2.0176,17.07,-0.007,80.09,1.8065,2.3200000000000003
1.6572,14.75,2.0795,16.81,-0.0049,79.89,1.7983,2.0599999999999987
1.5807,14.75,2.0641,16.75,-0.0091,75.95,1.7988,2.0
1.5422,14.75,2.0471,17.57,-0.0089,70.19,1.7707,2.8200000000000003
1.637,14.75,2.0361,17.92,-0.0128,65.98,1.7602,3.1700000000000017
1.7355,14.75,2.0529,20.86,-0.0101,64.92,1.7033,6.109999999999999
1.7955,14.75,2.0589,19.2,-0.0068,66.85,1.7595,4.449999999999999
1.6095,14.75,1.9875,18.62,-0.0089,66.82,1.8273,3.870000000000001
1.5091,14.75,1.8828,18.11,-0.0086,66.16,1.783,3.3599999999999994
1.5591,14.75,1.8413,17.13,-0.0147,67.04,1.7556,2.379999999999999
1.6217,14.75,1.842,20.11,-0.0162,68.65,1.7533,5.359999999999999
1.7259,14.75,1.8509,20.98,-0.0201,69.74,1.6598,6.23
1.6303,14.75,1.852,17.9,-0.0151,66.64,1.6989,3.1499999999999986
1.6187,14.75,1.8629,18.06,-0.0057,61.75,1.8141,3.3099999999999987
1.4975,14.75,1.8868,17.75,0.0062,58.64,1.8362,3.0
1.6126,14.75,1.9138,18.09,0.003,60.52,1.8707,3.34
1.8182,14.75,1.9855,18.72,-0.0018,63.09,1.9413,3.969999999999999
2.0279,14.75,2.0684,17.65,-0.0141,65.27,1.9123,2.8999999999999986
1.9984,14.75,2.1166,17.51,-0.0067,66.72,1.9197,2.7600000000000016
1.9574,14.75,2.115,17.07,-0.0032,69.87,1.9931,2.3200000000000003
1.8688,14.75,2.112,17.64,0.0003,74.16,2.008,2.8900000000000006
1.8151,14.75,2.106,18.35,-0.0031,75.22,1.9683,3.6000000000000014
1.6934,14.75,2.105,18.49,-0.0047,72.9,1.9222,3.7399999999999984
1.5887,14.75,2.108,18.26,-0.0029,67.16,1.7734,3.5100000000000016
1.5471,14.75,2.0713,18.13,0.0011,64.24,1.6099,3.379999999999999
1.6038,14.75,1.9678,18.12,0.0057,63.76,1.4683,3.370000000000001
1.531,14.75,1.8439,17.4,0.011,61.82,1.3771,2.6499999999999986
1.3714,14.75,1.7219,17.95,0.0073,56.84,1.3748,3.1999999999999993
1.141,14.75,1.6684,19.79,0.0034,53.55,1.3971,5.039999999999999
1.1065,14.75,1.6938,20.6,0.006,55.26,1.3982,5.850000000000001
1.1644,14.75,1.7972,21.52,0.0178,58.99,1.372,6.77
1.3721,14.75,1.9191,22.23,0.0198,61.9,1.32,7.48
1.537,14.75,1.9994,20.93,0.0077,62.58,1.3105,6.18
1.5712,14.75,2.0188,18.94,0.0003,62.79,1.3864,4.190000000000001
