x,t,u
0.0,0.0,0.0
0.0,0.001,0.0001606546652709906
0.0,0.002,0.0003198438137032001
0.0,0.003,0.00047758065100668537
0.0,0.004,0.0006338782621461849
0.0,0.005,0.0007887496124421614
0.0,0.006,0.0009422075486620086
0.0,0.007,0.0010942648001015084
0.0,0.008,0.0012449339796566216
0.0,0.009000000000000001,0.0013942275848856996
0.0,0.01,0.001542157999062197
0.0,0.011,0.0016887374922179713
0.0,0.012,0.001833978222177249
0.0,0.013000000000000001,0.001977892235581341
0.0,0.014,0.002120491468904187
0.0,0.015,0.0022617877494588096
0.0,0.016,0.0024017927963947555
0.0,0.017,0.0025405182216866043
0.0,0.018000000000000002,0.002677975531113621
0.0,0.019,0.002814176125230631
0.0,0.02,0.00294913130033019
0.0,0.021,0.003082852249396132
0.0,0.022,0.003215350063048558
0.0,0.023,0.003346635730480356
0.0,0.024,0.0034767201403853106
0.0,0.025,0.003605614081877885
0.0,0.026000000000000002,0.0037333282454047444
0.0,0.027,0.0038598732236480916
0.0,0.028,0.003985259512420888
0.0,0.029,0.004109497511554032
0.0,0.03,0.004232597525775555
0.0,0.031,0.004354569765581923
0.0,0.032,0.004475424348101491
0.0,0.033,0.004595171297950193
0.0,0.034,0.004713820548079532
0.0,0.035,0.004831381940616933
0.0,0.036000000000000004,0.004947865227698529
0.0,0.037,0.005063280072294446
0.0,0.038,0.0051776360490266475
0.0,0.039,0.005290942644979411
0.0,0.04,0.005403209260502496
0.0,0.041,0.005514445210007065
0.0,0.042,0.005624659722754425
0.0,0.043000000000000003,0.005733861943637648
0.0,0.044,0.0058420609339561395
0.0,0.045,0.005949265672183207
0.0,0.046,0.006055485054726696
0.0,0.047,0.006160727896682749
0.0,0.048,0.0062650029325827606
0.0,0.049,0.0063683188171335635
0.0,0.05,0.0064706841259509285
0.0,0.051000000000000004,0.006572107356286426
0.0,0.052000000000000005,0.006672596927747707
0.0,0.053,0.00677216118301226
0.0,0.054,0.0068708083885347096
0.0,0.055,0.0069685467352476995
0.0,0.056,0.007065384339256427
0.0,0.057,0.007161329242526881
0.0,0.058,0.007256389413567837
0.0,0.059000000000000004,0.007350572748106667
0.0,0.06,0.007443887069759013
0.0,0.061,0.007536340130692385
0.0,0.062,0.007627939612283728
0.0,0.063,0.007718693125771028
0.0,0.064,0.007808608212898978
0.0,0.065,0.007897692346558793
0.0,0.066,0.007985952931422203
0.0,0.067,0.00807339730456967
0.0,0.068,0.008160032736112901
0.0,0.069,0.008245866429811696
0.0,0.07,0.008330905523685171
0.0,0.07100000000000001,0.008415157090617423
0.0,0.07200000000000001,0.008498628138957673
0.0,0.073,0.008581325613114945
0.0,0.074,0.008663256394147325
0.0,0.075,0.00874442730034584
0.0,0.076,0.008824845087813019
0.0,0.077,0.008904516451036173
0.0,0.078,0.008983448023455446
0.0,0.079,0.009061646378026674
0.0,0.08,0.009139118027779112
0.0,0.081,0.009215869426368062
0.0,0.082,0.009291906968622456
0.0,0.083,0.009367236991087425
0.0,0.084,0.00944186577256192
0.0,0.085,0.00951579953463141
0.0,0.08600000000000001,0.009589044442195707
0.0,0.08700000000000001,0.00966160660399196
0.0,0.088,0.00973349207311287
0.0,0.089,0.009804706847520151
0.0,0.09,0.009875256870553295
0.0,0.091,0.00994514803143367
0.0,0.092,0.010014386165764014
0.0,0.093,0.010082977056023327
0.0,0.094,0.010150926432057247
0.0,0.095,0.010218239971563922
0.0,0.096,0.010284923300575417
0.0,0.097,0.010350981993934716
0.0,0.098,0.010416421575768343
0.0,0.099,0.010481247519954637
0.0,0.1,0.010545465250587733
0.0,0.101,0.010609080142437282
0.0,0.10200000000000001,0.010672097521403945
0.0,0.10300000000000001,0.010734522664970698
0.0,0.10400000000000001,0.010796360802649996
0.0,0.105,0.01085761711642682
0.0,0.106,0.010918296741197646
0.0,0.107,0.010978404765205386
0.0,0.108,0.011037946230470318
0.0,0.109,0.011096926133217054
0.0,0.11,0.011155349424297573
0.0,0.111,0.011213221009610365
0.0,0.112,0.011270545750515707
0.0,0.113,0.01132732846424712
0.0,0.114,0.011383573924319029
0.0,0.115,0.01143928686093067
0.0,0.116,0.011494471961366272
0.0,0.117,0.011549133870391543
0.0,0.11800000000000001,0.011603277190646508
0.0,0.11900000000000001,0.011656906483034716
0.0,0.12,0.011710026267108863
0.0,0.121,0.011762641021452844
0.0,0.122,0.011814755184060291
0.0,0.123,0.011866373152709608
0.0,0.124,0.011917499285335545
0.0,0.125,0.011968137900397333
0.0,0.126,0.01201829327724343
0.0,0.127,0.01206796965647289
0.0,0.128,0.012117171240293382
0.0,0.129,0.012165902192875921
0.0,0.13,0.012214166640706294
0.0,0.131,0.012261968672933254
0.0,0.132,0.012309312341713488
0.0,0.133,0.012356201662553388
0.0,0.134,0.01240264061464766
0.0,0.135,0.012448633141214813
0.0,0.136,0.012494183149829518
0.0,0.137,0.012539294512751908
0.0,0.138,0.012583971067253825
0.0,0.139,0.01262821661594204
0.0,0.14,0.012672034927078479
0.0,0.14100000000000001,0.012715429734897487
0.0,0.14200000000000002,0.012758404739920147
0.0,0.14300000000000002,0.012800963609265689
0.0,0.14400000000000002,0.012843109976960006
0.0,0.145,0.012884847444241319
0.0,0.146,0.012926179579862992
0.0,0.147,0.012967109920393561
0.0,0.148,0.013007641970513954
0.0,0.149,0.013047779203311972
0.0,0.15,0.01308752506057403
0.0,0.151,0.013126882953074188
0.0,0.152,0.01316585626086051
0.0,0.153,0.013204448333538748
0.0,0.154,0.0132426624905534
0.0,0.155,0.013280502021466167
